qid,query,category,query_type,setting,precision_at_5,recall_at_5,recall_at_20,recall_at_50,ndcg_at_5,mrr,map_at_5,hit_rate_at_5,coverage_at_5,diversity_at_5,novelty_at_5,intent_consistency_at_5,grounding_score,violation_rate,confidence_mean,confidence_std,runtime_sec,discarded
1,Best adventure places in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.4,1.0,0.09999999999999998,1.0,1.0,0.0,0.7074640612429061,0.01408728475714212,0.03986930847167969,0
2,Best beach places in India,generic,broad,full,1.0,0.1,0.28,0.28,1.0,1.0,1.0,1.0,0.6,0.8,0.26,1.0,1.0,0.0,0.7715500359836778,0.019898825337906958,0.029312610626220703,0
3,Best cultural places in India,generic,broad,full,1.0,0.1,0.28,0.28,1.0,1.0,1.0,1.0,0.4,0.8,0.09999999999999998,1.0,1.0,0.0,0.6962221493185023,0.018965550603245167,0.035715341567993164,0
4,Best family places in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.4,1.0,0.09999999999999998,1.0,1.0,0.0,0.7075739138781738,0.021601392599774553,0.03527522087097168,0
5,Best food places in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.4,0.6,0.15999999999999998,0.0,0.6666666666666666,0.0,0.6574953965890098,0.03632353376788196,0.03348875045776367,0
6,Best nature places in India,generic,broad,full,1.0,0.1,0.28,0.28,1.0,1.0,1.0,1.0,0.6,0.7,0.11999999999999997,1.0,1.0,0.0,0.6439418618696153,0.11752244453712714,0.03998541831970215,0
7,Best photography places in India,generic,broad,full,1.0,0.21739130434782608,0.6521739130434783,0.6521739130434783,1.0,1.0,1.0,1.0,0.6,0.6,0.24000000000000005,1.0,1.0,0.0,0.751776248974684,0.06439267941005257,0.031703948974609375,0
8,Best spiritual places in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.6,0.8,0.13999999999999996,1.0,1.0,0.0,0.648955756545487,0.03956476601865701,0.03223061561584473,0
9,Best wellness places in India,generic,broad,full,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.22000000000000003,1.0,0.6,0.4,0.6842016069606502,0.21199966897471556,0.03193211555480957,1
10,Best wildlife places in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.6,0.6,0.09999999999999998,1.0,1.0,0.0,0.7192164731254156,0.11184854682230791,0.032189369201660156,0
11,Top attractions in North,generic,city,full,1.0,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.15999999999999998,1.0,1.0,0.0,0.942845141385894,0.030166792002622535,0.03525662422180176,0
12,Top attractions in South,generic,city,full,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.27999999999999997,1.0,1.0,0.0,0.9483199612234324,0.011400227929551381,0.03749203681945801,0
13,Top attractions in West,generic,city,full,1.0,0.22727272727272727,0.6818181818181818,0.6818181818181818,1.0,1.0,1.0,1.0,0.2,0.9,0.28,1.0,1.0,0.0,0.9124453252374402,0.009509327270602384,0.035889625549316406,0
14,Top attractions in East/Northeast,generic,city,full,1.0,0.08333333333333333,0.25,0.25,1.0,1.0,1.0,1.0,0.2,0.5,0.26,1.0,1.0,0.0,0.9750167045416532,0.021335221637942742,0.03545570373535156,0
15,Top attractions in Central,generic,city,full,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.9,0.3,1.0,0.9,0.0,0.8580452753008135,0.14096446470513663,0.03977227210998535,0
16,Best beach destinations in India,generic,broad,full,1.0,0.1,0.28,0.28,1.0,1.0,1.0,1.0,0.8,0.6,0.26000000000000006,1.0,1.0,0.0,0.919445100716451,0.041568961205216706,0.028835296630859375,0
17,Top heritage and historical places in India,generic,broad,full,1.0,0.1,0.26,0.26,1.0,1.0,1.0,1.0,0.4,1.0,0.09999999999999998,1.0,1.0,0.0,0.8282560132371636,0.023912303493734452,0.037471771240234375,0
18,Best hill stations in India,generic,broad,full,1.0,0.1,0.24,0.24,1.0,1.0,1.0,1.0,0.6,0.8,0.07999999999999999,1.0,0.0,0.0,0.5890705195492909,0.025868000897205184,0.037609100341796875,0
19,Top spiritual destinations in India,generic,broad,full,1.0,0.1,0.3,0.3,1.0,1.0,1.0,1.0,0.6,0.8,0.13999999999999996,1.0,1.0,0.0,0.7840706639979652,0.03918247835293054,0.03513741493225098,0
20,Best wildlife and nature destinations in India,generic,broad,full,1.0,0.1,0.28,0.28,1.0,1.0,1.0,1.0,0.8,0.3,0.09999999999999998,1.0,1.0,0.0,0.8601823112625395,0.07361833821715805,0.037832021713256836,0
21,Top museums and monuments in India,generic,broad,full,0.8,0.08,0.24,0.24,0.7937848435747735,1.0,0.6433333333333333,1.0,0.6,0.8,0.15999999999999998,1.0,0.0,0.0,0.5783592301810538,0.007363486070359636,0.03785371780395508,0
22,Best places to visit in Hawa Mahal,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.9,0.09999999999999998,1.0,0.5,0.0,0.5932335431526202,0.005909509483449792,0.04232192039489746,0
23,Best places to visit in Deekshabhoomi,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,1.0,0.07999999999999999,1.0,0.5,0.0,0.6049644006444558,0.024439416565578628,0.04199934005737305,0
24,Best places to visit in Ram-Raja,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.9,0.09999999999999998,1.0,0.5,0.0,0.5913753451487677,0.004421052431157298,0.04431915283203125,0
25,Best places to visit in Matangeshwar Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.6,0.6,0.15999999999999998,1.0,0.75,0.0,0.6085207500591527,0.01720637039453865,0.039482831954956055,0
26,Best places to visit in Barakhamba's Tomb,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.6,0.9,0.09999999999999998,1.0,0.5,0.0,0.5960208985194466,0.007934490750960265,0.046463727951049805,0
27,Best places to visit in Munnar,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.15999999999999998,1.0,0.6,0.0,0.5278392242654388,0.23634237085029097,0.035859107971191406,0
28,Best places to visit in Marina Beach,generic,city,full,1.0,0.08620689655172414,0.25862068965517243,0.25862068965517243,1.0,1.0,1.0,1.0,0.6,0.9,0.2,1.0,0.75,0.0,0.6601760759112032,0.0032734656964048736,0.03242993354797363,0
29,Best places to visit in Gateway of India,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9793244947953805,1.0,1.0,1.0,0.6,0.6,0.07999999999999999,1.0,0.5,0.0,0.5851870806132029,0.010825923716021719,0.03984475135803223,0
30,Best places to visit in Qutub Minar,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9818420394436483,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.5963030426783628,0.005209778174665743,0.042742013931274414,0
31,Best places to visit in Red Fort,generic,city,full,1.0,0.02262443438914027,0.06787330316742081,0.06787330316742081,1.0,1.0,1.0,1.0,0.4,0.9,0.09999999999999998,1.0,0.75,0.0,0.6561804723570432,0.061250717601707,0.039504289627075195,0
32,Best places to visit in Golden Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.4,0.7,0.15999999999999998,1.0,0.75,0.0,0.6230202687939675,0.0317954402375776,0.038988590240478516,0
33,Best places to visit in Mysore Palace,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.9636840788872965,1.0,1.0,1.0,0.4,1.0,0.09999999999999998,1.0,0.5,0.0,0.5943497936791757,0.006784592626501029,0.044712066650390625,0
34,Best places to visit in Charminar,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,1.0,1.0,1.0,1.0,0.6,0.9,0.07999999999999999,1.0,0.5,0.0,0.6019978901726966,0.017608001221659206,0.04397416114807129,0
35,Best places to visit in Hampi,generic,city,full,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.7,0.15999999999999998,1.0,0.6,0.0,0.520096621921221,0.2401563372973409,0.040019989013671875,0
36,Best places to visit in Ellora Caves,generic,city,full,1.0,0.012853470437017995,0.038560411311053984,0.038560411311053984,0.896087325958425,1.0,1.0,1.0,0.4,0.9,0.18,1.0,0.5,0.0,0.5916600712041736,0.006219358727275482,0.04454207420349121,0
37,Best places to visit in Konark Sun Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.6,0.7,0.15999999999999998,1.0,0.75,0.0,0.599437956555154,0.019432982065570432,0.038657426834106445,0
38,Best places to visit in Jagannath Temple,generic,city,full,1.0,0.038461538461538464,0.11538461538461539,0.11538461538461539,1.0,1.0,1.0,1.0,0.4,0.9,0.18,1.0,0.75,0.0,0.6101093842509641,0.014665740424900268,0.038179874420166016,0
39,Best places to visit in Radhanagar Beach,generic,city,full,1.0,0.08620689655172414,0.25862068965517243,0.25862068965517243,1.0,1.0,1.0,1.0,0.4,0.9,0.15999999999999998,1.0,0.75,0.0,0.6661723284870693,0.0612124936271084,0.03308725357055664,0
40,Best places to visit in Varkala Beach,generic,city,full,1.0,0.08620689655172414,0.25862068965517243,0.25862068965517243,1.0,1.0,1.0,1.0,0.6,1.0,0.22000000000000003,1.0,0.75,0.0,0.648171475124925,0.05607860795173866,0.03265118598937988,0
